gamePk,gameDate,homeId,homeTri,awayId,awayTri,venue,gameState
2025010101,2025-09-20T23:00:00Z,25,DAL,19,STL,American Airlines Center,FINAL
2025010007,2025-09-21T17:00:00Z,1,NJD,3,NYR,Prudential Center,FINAL
2025010004,2025-09-21T19:00:00Z,18,NSH,13,FLA,Bridgestone Arena,FINAL
2025010010,2025-09-21T19:00:00Z,9,OTT,10,TOR,Canadian Tire Centre,FINAL
2025010006,2025-09-21T21:00:00Z,52,WPG,30,MIN,Canada Life Centre,FINAL
2025010009,2025-09-21T21:00:00Z,29,CBJ,19,STL,Nationwide Arena,FINAL
2025010013,2025-09-21T21:00:00Z,6,BOS,15,WSH,TD Garden,FINAL
2025010001,2025-09-21T22:00:00Z,26,LAK,24,ANA,Toyota Arena,FINAL
2025010005,2025-09-21T23:00:00Z,18,NSH,13,FLA,Bridgestone Arena,FINAL
2025010008,2025-09-21T23:00:00Z,2,NYI,4,PHI,UBS Arena,FINAL
2025010103,2025-09-21T23:00:00Z,68,UTA,21,COL,Magness Arena,FINAL
2025010002,2025-09-22T00:00:00Z,22,EDM,20,CGY,Rogers Place,FINAL
2025010003,2025-09-22T00:00:00Z,20,CGY,22,EDM,Scotiabank Saddledome,FINAL
2025010011,2025-09-22T00:00:00Z,55,SEA,23,VAN,Climate Pledge Arena,FINAL
2025010012,2025-09-22T00:00:00Z,28,SJS,54,VGK,SAP Center at San Jose,FINAL
2025010104,2025-09-22T01:30:00Z,21,COL,68,UTA,Ball Arena,FINAL
2025010014,2025-09-22T23:00:00Z,29,CBJ,7,BUF,Nationwide Arena,FINAL
2025010015,2025-09-22T23:00:00Z,8,MTL,5,PIT,Centre Bell,FINAL
2025010016,2025-09-22T23:00:00Z,12,CAR,14,TBL,Lenovo Center,FINAL
2025010017,2025-09-23T02:00:00Z,24,ANA,68,UTA,Honda Center,FINAL
2025010018,2025-09-23T23:00:00Z,3,NYR,6,BOS,Madison Square Garden,FINAL
2025010019,2025-09-23T23:00:00Z,17,DET,16,CHI,Little Caesars Arena,FINAL
2025010020,2025-09-23T23:00:00Z,7,BUF,29,CBJ,KeyBank Center,FINAL
2025010024,2025-09-23T23:00:00Z,1,NJD,2,NYI,Prudential Center,FINAL
2025010025,2025-09-23T23:00:00Z,10,TOR,9,OTT,Scotiabank Arena,FINAL
2025010026,2025-09-23T23:00:00Z,8,MTL,4,PHI,Centre Bell,FINAL
2025010021,2025-09-24T00:00:00Z,25,DAL,30,MIN,American Airlines Center,FINAL
2025010022,2025-09-24T00:00:00Z,52,WPG,22,EDM,Canada Life Centre,FINAL
2025010028,2025-09-24T00:00:00Z,18,NSH,14,TBL,Bridgestone Arena,FINAL
2025010027,2025-09-24T01:00:00Z,20,CGY,55,SEA,Scotiabank Saddledome,FINAL
