conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,placeName.default,teamName.default,teamName.fr,teamCommonName.default,teamAbbrev.default,placeName.fr,teamCommonName.fr
W,1,4,Western,2,1,2025-11-07,C,1,3,Central,1,1,2,14,13,0.928571,37,50,3.571429,6,7,18,25,0,2,10,4,4,0,4,10,8,29,37,1,4,14,5,5,0,5,8,7,3,1,1,5,0.75,21,0.571429,8,0.571429,8,8,6,19,25,1,3,11,4,4,0,4,20252026,2,0,W,1,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,32,0,0.571429,8,Colorado,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,,
E,3,3,Eastern,7,1,2025-11-07,M,1,3,Metropolitan,5,1,2,14,7,0.5,43,50,3.571429,6,11,12,23,0,0,12,6,4,0,6,10,5,31,36,3,0,14,7,5,0,7,3,6,15,2,4,0,0.714286,20,0.714286,10,0.571429,8,8,-4,31,27,4,0,8,4,4,0,4,20252026,0,0,W,1,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,30,0,0.714286,10,New Jersey,New Jersey Devils,Devils du New Jersey,Devils,NJD,,
E,9,5,Eastern,2,2,2025-11-07,A,6,1,Atlantic,1,1,2,14,6,0.428571,45,51,3.642857,6,3,20,23,1,1,9,4,1,0,4,10,3,33,36,2,2,14,6,2,0,6,14,9,4,3,3,2,0.714286,20,0.642857,9,0.285714,4,8,3,25,28,2,1,11,5,3,0,5,20252026,1,0,OT,2,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,29,0,0.642857,9,Montréal,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,,
E,8,1,Eastern,3,3,2025-11-07,M,3,1,Metropolitan,2,2,2,15,11,0.733333,43,54,3.6,6,4,21,25,1,1,9,4,4,0,4,10,11,28,39,2,2,14,6,6,0,6,13,3,6,4,4,2,0.666667,20,0.6,9,0.6,9,9,7,22,29,3,1,11,5,5,0,5,20252026,2,0,W,1,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,26,0,0.6,9,Pittsburgh,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,,
W,8,1,Western,3,2,2025-11-07,P,4,1,Pacific,2,1,2,13,13,1.0,42,55,4.230769,5,8,13,21,1,0,8,4,4,0,4,10,13,30,43,2,1,15,6,6,0,7,19,1,5,5,3,1,0.730769,19,0.615385,8,0.538462,7,8,5,29,34,2,1,11,4,3,0,5,20252026,0,1,W,5,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,0,31,0,0.692308,9,Anaheim,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,,
W,4,2,Western,6,3,2025-11-07,C,2,1,Central,3,2,2,13,12,0.923077,33,45,3.461538,8,7,22,29,3,0,10,5,5,0,5,10,9,24,33,3,0,14,7,6,0,7,11,2,11,6,4,0,0.692308,18,0.692308,9,0.615385,8,5,5,11,16,1,0,8,4,3,0,4,20252026,0,0,L,1,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,28,0,0.692308,9,Winnipeg,Winnipeg Jets,Jets de Winnipeg,Jets,WPG,,
E,12,9,Eastern,5,4,2025-11-07,M,5,5,Metropolitan,3,3,2,13,13,1.0,35,48,3.692308,5,6,17,23,1,0,8,4,3,0,4,10,5,28,33,4,0,12,5,4,0,6,20,15,8,7,4,0,0.692308,18,0.615385,8,0.461538,6,8,7,18,25,3,0,10,4,3,0,5,20252026,0,1,W,2,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,27,0,0.692308,9,Carolina,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,CAR,Caroline,
W,9,3,Western,4,4,2025-11-07,C,5,2,Central,2,3,2,14,7,0.5,40,47,3.357143,5,5,13,18,1,0,8,4,3,0,4,10,7,32,39,3,0,14,7,5,0,7,21,5,9,8,5,0,0.642857,18,0.642857,9,0.428571,6,9,2,27,29,4,0,10,5,3,0,5,20252026,0,0,L,1,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,0,24,0,0.642857,9,Utah,Utah Mammoth,Mammoth de l'Utah,Mammoth,UTA,,
E,7,12,Eastern,8,5,2025-11-07,A,5,6,Atlantic,3,2,2,14,2,0.142857,42,44,3.142857,6,7,16,23,1,0,10,5,4,0,5,10,-1,31,30,4,0,12,4,3,0,6,7,19,17,9,5,0,0.642857,18,0.5,7,0.428571,6,8,-5,26,21,4,0,8,2,2,0,4,20252026,0,2,L,1,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,0,23,0,0.642857,9,Detroit,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,,
E,2,11,Eastern,13,6,2025-11-07,A,2,5,Atlantic,5,3,2,16,-1,-0.0625,53,52,3.25,10,6,29,35,3,0,14,7,4,0,7,10,-1,34,33,4,0,12,5,3,0,6,2,18,28,10,7,0,0.5625,18,0.5,8,0.3125,5,6,-7,24,17,4,0,4,1,1,0,2,20252026,0,1,W,5,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026,0,17,0,0.5625,9,Boston,Boston Bruins,Bruins de Boston,Bruins,BOS,,
W,6,5,Western,7,5,2025-11-07,P,3,2,Pacific,4,2,2,13,5,0.384615,38,43,3.307692,7,4,23,27,2,1,9,4,4,0,4,10,6,27,33,3,1,13,6,6,0,6,15,10,12,11,3,3,0.653846,17,0.538462,7,0.461538,6,6,1,15,16,1,2,8,3,2,0,3,20252026,1,0,L,1,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,25,0,0.538462,7,Vegas,Vegas Golden Knights,Golden Knights de Vegas,Golden Knights,VGK,,
E,1,7,Eastern,15,7,2025-11-07,A,1,3,Atlantic,7,4,2,14,2,0.142857,50,52,3.714286,10,7,31,38,2,1,15,7,5,0,7,10,0,35,35,3,1,13,6,4,0,6,1,12,31,12,5,1,0.607143,17,0.571429,8,0.428571,6,4,-5,19,14,3,0,2,1,1,0,1,20252026,0,0,W,3,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,21,1,0.571429,8,Toronto,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,,
W,7,9,Western,8,6,2025-11-07,C,4,5,Central,4,4,2,14,-4,-0.285714,46,42,3.0,8,-3,27,24,3,1,9,3,3,0,4,10,-7,31,24,3,3,11,3,3,0,4,18,22,13,13,4,3,0.607143,17,0.357143,5,0.357143,5,6,-1,19,18,1,2,8,2,2,0,3,20252026,1,2,L,1,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,20,1,0.5,7,Dallas,Dallas Stars,Stars de Dallas,Stars,DAL,,
E,4,4,Eastern,11,8,2025-11-07,M,2,4,Metropolitan,7,4,2,14,5,0.357143,36,41,2.928571,9,5,23,28,3,0,12,4,3,0,6,10,7,23,30,3,0,14,4,3,0,7,4,8,24,14,5,1,0.607143,17,0.357143,5,0.285714,4,5,0,13,13,2,1,5,1,1,0,2,20252026,0,3,W,2,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,0,19,2,0.571429,8,Philadelphia,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,Philadelphie,
W,3,8,Western,11,7,2025-11-07,P,2,4,Pacific,6,3,2,13,-5,-0.384615,39,34,2.615385,7,-1,18,17,1,2,10,4,3,0,4,10,-7,32,25,3,3,11,4,3,0,4,10,21,20,15,3,4,0.615385,16,0.461538,6,0.307692,4,6,-4,21,17,2,2,6,2,1,0,2,20252026,1,0,L,1,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,0,22,0,0.461538,6,Seattle,Seattle Kraken,Kraken de Seattle,Kraken,SEA,,
E,15,6,Eastern,4,9,2025-11-07,A,8,2,Atlantic,2,5,2,14,4,0.285714,39,43,3.071429,6,-1,18,17,3,0,6,3,1,0,3,10,7,23,30,3,1,13,6,4,0,6,27,11,7,16,5,2,0.571429,16,0.5,7,0.357143,5,8,5,21,26,2,2,10,4,4,0,4,20252026,0,0,W,1,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,18,3,0.5,7,Tampa Bay,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,,
